FY 2011 Visitor Program Departments and Project Codes,,,,,,
,,,,,,
JFRC Visiting Scientists - Individual,,,ACTIVE,INACTIVE,NEW/CHANGE,
,,,,,,
Dept ID,Project ID,Description,Start Date,End Date,Comment,
093400,JVS000100,Visitor - Non Programmatic *,9/1/2005,9/1/2039,*admin only,
093401,n/a,Sr Fellow - Sydney Brenner,9/1/2005,9/1/2039,,
093402,n/a,Sr Fellow - Charles Shank,9/1/2005,9/1/2039,,
093419,n/a,Sr Fellow - Winfried Denk,5/1/2011,4/30/2012,renewed,
093420,n/a,Sr Fellow - Charles Zuker,7/1/2011,6/30/2012,renewed,
093400,JVS000502,Visitor - Zuker / Perrimon Renewal,9/1/2009,8/31/2010,expired,
093400,JVS000602,Visitor - Tjian / Singer (2),4/1/2009,8/31/2010,expired,
093400,JVS000801,Visitor - Michael Dickinson Renewal,3/1/2008,8/31/2011,,1
093400,JVS001102,Visitor - Gordon Shepherd Renewal,8/1/2009,7/31/2010,expired,
093400,JVS001103,Visitor - Gordon Shepherd (4),8/1/2010,7/31/2011,,2
093400,JVS001202,Visitor - Gyorgy Buzsaki Renewal,9/1/2009, 8/31/10,expired,
093400,JVS001203,Visitor - Gyorgy Buzsaki (4),9/1/2010, 8/31/11,,3
093400,JVS001501,Visitor - Thomas Bozza Renewal,9/1/2009,8/31/2010,expired,
093400,JVS001502,Visitor - Thomas Bozza (3),9/1/2010,8/31/2011,,4
093400,JVS001802,Visitor - Matthieu Louis Renewal,11/1/2009,10/31/2010,expired,5
093400,JVS001803,Visitor - Matthieu Louis (4),1/1/2011,12/31/2011,,5
093400,JVS002402,Visitor - Zuker/Ofstad (3),2/1/2010,8/31/2010,expired,
093400,JVS002403,Visitor - Zuker / Ofstad (4),7/1/2010,6/30/2011,,6
093400,JVS003401,Visitor - Patrick Dennis Renewal,9/1/2009,8/31/2010,expired,
093400,JVS003402,Visitor - Patrick Dennis (3),9/1/2010,8/31/2011,,7
093400,JVS003601,Visitor - Rob Olberg Renewal,9/1/2009,8/31/2010,expired,
093400,JVS003602,Visitor - Rob Olberg (3),9/1/2010,8/31/2011,,8
093400,JVS004700,Visitor - Matthew Reynolds,11/1/2008,8/31/2010,expired,
093400,JVS004801,Visitor - Richard Mann Renewal,10/1/2009,12/31/2010,expired,
093400,JVS004802,Visitor - Richard Mann (3),1/1/2011,12/31/2011,,9
093400,JVS004900,Visitor - Joseph Paton,10/1/2008,8/31/2010,expired,
093400,JVS004901,Visitor - Paton / Li,10/1/2010,9/30/2011,,10
093400,JVS005300,Visitor - Bate / Vijay,3/1/2009,8/31/2011,,11
093400,JVS005400,Visitor - Barry Condron,3/1/2009,8/31/2010,expired,
093400,JVS005401,Visitor - Barry Condron (2),9/1/2010,8/31/2011,,12
093400,JVS005500,Visitor - William Schafer,3/1/2009,8/31/2010,expired,
093400,JVS005501,Visitor - William Schafer (2),9/1/2010,8/31/2011,,13
093400,JVS005601,Visitor - Brehm / Verdecia Renewal,4/1/2010,8/31/2011,EXTENDED,14
093400,JVS00xxxx,Visitor - Brehm / Verdecia (3),4/1/2011,3/31/2012,pending,14
093400,JVS005800,Visitor - Petra Schwille,7/1/2009,12/31/2009,expired,
093400,JVS006001,Visitor - Catharine Rankin Renewal,9/1/2009,8/31/2010,expired,
093400,JVS006100,Visitor - Albert Cardona,9/1/2009,8/31/2010,expired,
093400,JVS006101,Visitor - Albert Cardona (2),9/1/2010,8/31/2011,,15
093400,JVS006400,Visitor - Axel Scherer *,9/1/2009,8/31/2011,*vendors only,
093400,JVS006401,Visitor - Axel Scherer (2),9/1/2010,8/31/2011,,16
093400,JVS006500,Visitor - Henry Greenside,8/15/2009,12/18/2009,expired,
093400,JVS006501,Visitor - Henry Greenside Renewal,6/1/2010,8/31/2011,,17
093400,JVS006600,Visitor - Stephen Williams,9/1/2009,8/31/2010,expired,
093400,JVS006601,Visitor - Stephen Williams (2),9/1/2010,8/31/2011,,18
093400,JVS006700,Visitor - Tank/Markowitz,9/28/2009,10/30/2009,expired,
093400,JVS006800,Visitor - David Anderson,9/1/2009,8/31/2011,,19
093400,JVS006900,Visitor - Vale / Goodwin,11/1/2009,8/31/2011,,20
093400,JVS007000,Visitor - Shepherd / Williams,11/1/2009,10/31/2010,expired,
093400,JVS007001,Visitor - Shepherd / Williams (2),11/1/2010,10/31/2011,,21
093400,JVS007100,Visitor - Ronen Basri,11/1/2010,3/31/2011,,22
093400,JVS007200,Visitor - Catherine Galbraith,6/1/2010,5/31/2011,,23
093400,JVS007300,Visitor - Ulrike Heberlein,8/1/2010,8/31/2010,expired,
093400,JVS007400,Visitor - Jeffry Isaacson,9/1/2010,12/31/2010,expired,
093400,JVS007500,Visitor - Sasha Efros,10/1/2010,9/30/2011,,24
093400,JVS007600,Visitor - Jane Wang,9/1/2010,8/31/2011,,25
093400,JVS007700,Visitor - Harrison / Reynolds,9/1/2010,8/31/2011,,26
093400,JVS007800,Visitor - Allan Spradling,9/1/2010,8/31/2011,,27
093400,JVS007900,Pilot - Larval Olympiad,9/1/2010,8/31/2011,,28
093400,JVS008000,Visitor - Ulrike Gaul,1/1/2010,9/30/2010,expired,29
093400,JVS008001,Visitor - Ulrike Gaul Renewal,10/1/2010,5/31/2011,,29
093400,JVS008100,Visitor - Sandra Loesgen,10/15/2010,12/20/2010,expired,
093400,JVS008200,Visitor - Ganetzky / Ballard,11/22/2010,11/30/2011,,30
093400,JVS008300,Visitor - Fabian Blombach,12/1/2010,5/31/2011,,31
093400,JVS008400,Visitor - Bassem Hassan,12/1/2010,11/30/2011,,32
093400,JVS008500,Visitor - Yevgeniy Sirotin,3/1/2011,8/31/2011,,33
093400,JVS008600,Visitor - Charles Lawrence,3/1/2011,8/31/2011,,34
093400,JVS008700,Visitor - Hang Xiao,5/1/2011,8/31/2011,,35
093400,JVS008800,Visitor - Virginie Grand-Perret,4/1/2011,7/31/2011,NEW,36
093400,JVS008900,Visitor - Detlev Arendt,4/1/2011,3/31/2012,NEW,37
093400,JVS009000,Visitor - Donald Rio,1/1/2010,8/31/2010,expired,
093400,JVS009001,Visitor - Donald Rio Renewal,1/1/2011,8/31/2011,,38
093400,JVS009100,Visitor - Charles Kim,5/1/2011,6/30/2011,pending,39
093400,JVS009200,Visitor - Dave Schaffer,5/1/2011,4/30/2012,pending,40
093400,JVS009300,Visitor - Qian-Qun Sun,6/1/2011,11/30/2011,pending,41
093400,JVS009400,Visitor - David Axline,7/1/2011,9/30/2011,NEW,42
093400,JVS009500,Visitor - David Golomb,8/1/2011,7/31/2012,pending,43
093400,JVS009600,Visitor - Rob Presler,5/1/2011,6/30/2011,NEW,44
093400,JVS009700,Visitor - Michael Nitabach,7/1/2011,6/30/2012,pending,45
093400,JVS010000,Visitor - Stephen Huston,3/1/2010,4/30/2011,,46
093400,JVS011000,Visitor - Tony D'Alessio,2/1/2010,12/31/2010,expired,47
093400,JVS012000,Visitor - J.C. Rah,1/1/2010,8/31/2011,,47
093400,JVS013000,Visitor - Julian Paton,3/1/2010,8/31/2011,,48
093400,JVS014000,Visitor - Anirvan Ghosh,4/1/2010,12/31/2011,,49
093400,JVS015000,Visitor - Utsav Goel,6/1/2010,8/31/2010,expired,
093400,JVS016000,Visitor - Eric Trautman,6/1/2010,8/31/2010,expired,
093400,JVS017000,Visitor - Saket Navlakha,6/1/2010,8/31/2010,expired,
093400,JVS018000,Visitor - Min Liu,6/1/2010,9/30/2010,expired,
,,,,,,
,,,,,,
JFRC Teams,,,,,,
,,,,,,
Dept ID,Project ID,Description,Start Date,End Date,Comment,
093416,JVS001901,Visitor - Volker Hartenstein,9/1/2009,10/30/2010,expired,
093416,JVS003800,Visitor - Lawrence Zipursky,9/1/2009,8/31/2010,expired,
093416,JVS005200,Visitor - Chris Doe,9/1/2009,8/31/2010,expired,
093416,JVS416001,Visitor - Ron Tanimoto,9/1/2010,8/31/2011,,1
093416,JVS416010,Fly Light Team,9/1/2010,8/31/2012,,
093417,JVS417010,Fly EM Team,9/1/2010,8/31/2012,,
093417,JVS417020,Visitor - Ian Meinertzhagen,9/1/2010,8/31/2012,,2
093417,JVS417030,Visitor - Gonzalo de Polavieja,9/1/2010,8/31/2012,,3
093417,JVS417040,Visitor - Volker Hartenstein,9/1/2010,8/31/2012,,4
093418,JVS418010,Fly Olympiad Team,9/1/2010,8/31/2012,,
093418,JVS418020,Visitor - David Anderson,9/1/2010,8/31/2012,,5
093418,JVS418030,Visitor - Roland Strauss,9/1/2010,8/31/2012,,6
093421,JVS421010,GECI Team,9/1/2010,8/31/2012,,
093421,JVS421020,Visitor - Sevinc Mutlu,12/1/2010,5/31/2011,,7
093421,JVS421030,Visitor - Hatim Zariwala,12/27/2010,2/27/2011,expired,8
093421,JVS421040,Visitor - Oliver Griesbeck,7/1/2011,9/30/2011,pending,9
093423,JVS423010,Single Cell Biochemistry Team,9/1/2010,8/31/2011,,
093423,JVS423020,Visitor - Singer / Darzacq,9/1/2010,8/31/2011,,10
093423,JVS423030,Visitor - Michael Rosbash,9/1/2010,8/31/2011,,11
